FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Label
image-022,10,45,32,39,1137,11.529054916985952,
image-023,0,1165,266,270,45,10.153846153846153,
image-023,1,1166,742,35,44,11.5,
image-023,2,1069,39,32,109,12.540893015030946,
image-023,3,978,39,34,169,12.164355418592706,
image-023,4,856,35,37,262,12.31937595109022,
image-023,5,734,32,33,383,12.294009471021646,
image-023,6,704,38,347,509,12.205882352941176,
image-023,7,582,37,33,537,12.257048872180452,
image-023,8,552,38,556,662,12.117647058823529,
image-023,9,459,36,38,687,12.354264449001292,
image-023,10,337,36,35,780,12.952450154410064,
image-023,11,308,40,610,906,12.5,
image-023,12,258,572,78,949,12.5,
image-024,0,657,83,130,335,33.713091646915174,
image-025,0,871,71,59,336,13.673469387755102,
image-025,1,756,39,28,390,12.892924976258309,
image-025,2,298,38,30,484,12.235470398370499,
image-025,3,267,39,335,945,11.833333333333334,
image-025,4,34,80,73,1174,9.953846153846154,
image-026,0,865,207,210,344,15.958333333333334,
image-026,1,814,98,99,370,15.618421052631579,
image-026,2,740,100,95,442,10.339285714285715,
image-026,3,418,37,30,517,12.126531639232168,
image-026,4,264,36,28,823,12.690422608244749,
image-026,5,142,37,33,976,12.649170451166437,
image-026,6,35,40,36,1122,10.281849551414767,
image-027,0,1172,77,33,39,10.454545454545455,
image-027,1,1016,43,26,103,12.66079260651629,
image-027,2,925,44,32,223,12.177100706450256,
image-027,3,895,46,435,318,12.76,
image-027,4,497,36,31,345,12.612558532345407,
image-027,5,314,30,34,743,11.731734288465725,
image-027,6,130,29,38,926,12.05506193156767,
image-027,7,39,37,41,1109,12.575063442304822,
image-028,0,1178,33,742,34,12.5,
image-028,1,1176,117,122,37,10.584905660377359,
image-028,2,1081,38,33,96,12.382894736842106,
image-028,3,226,36,31,162,12.582011761506323,
image-028,4,134,40,31,1014,12.883008658008658,
image-028,5,104,36,567,1108,13.133333333333333,
image-028,6,43,37,35,1135,13.190909090909091,
image-029,0,1172,68,39,41,10.5,
image-029,1,986,38,36,102,12.230813086192981,
image-029,2,529,31,35,253,12.309322835522922,
image-029,3,499,35,111,713,11.473684210526315,
image-029,4,102,29,39,739,12.534789583109688,
image-029,5,42,36,41,1137,12.456937799043061,
image-030,0,1178,31,744,33,12.5,
image-030,1,1179,115,127,34,10.528301886792454,
image-030,2,1023,36,36,92,11.985998236385822,
image-030,3,940,81,671,274,9.6,
image-030,4,930,210,528,258,8.845238095238095,
image-030,5,935,318,410,265,8.8125,
image-030,6,941,453,300,274,9.4,
image-030,7,930,573,163,259,8.988095238095237,
image-030,8,934,679,50,264,8.625,
image-030,9,875,42,680,340,7.8,
image-030,10,699,39,680,375,7.75,
image-030,11,841,209,527,341,9.515873015873016,
image-030,12,818,207,529,396,9.142857142857142,
image-030,13,788,226,530,426,11,
image-030,14,760,228,542,455,10,
image-030,15,712,221,515,502,9.142857142857142,
